date,AAPLclose,axpclose,catclose,baclose,cscoclose,cvxclose,ibmclose,msftclose,pgclose,xomclose
2014-01-22,72.3087,84.4782,77.5744,126.9742,19.4381,98.5652,158.0505,32.0738,67.7208,81.9883
2014-01-23,72.921,82.6613,76.7525,124.2829,19.4466,98.6225,152.8669,31.861,67.4243,81.4722
2014-01-24,71.5955,80.6034,75.7592,120.1844,19.2082,96.9519,153.2695,31.9718,66.5818,80.7147
2014-01-27,72.1763,79.4631,73.7813,120.8089,18.9017,95.2322,150.6777,32.6369,67.3817,78.9501
2014-01-28,66.4074,80.316,78.1652,120.5714,18.7314,95.3468,149.2182,31.9496,66.7775,79.0084
2014-01-29,65.6535,79.3055,79.1756,114.1422,18.5185,95.6826,148.3375,32.1624,67.3221,79.616
2014-01-30,65.5266,80.2974,77.5916,111.2838,18.4334,94.9947,147.9601,32.5083,66.0712,79.1665
2014-01-31,65.6339,78.8142,79.8006,110.1668,18.7109,95.3632,148.7653,32.6856,65.4159,78.2343
2014-02-03,65.7558,76.8119,80.4086,108.2495,18.6547,91.416,148.1949,33.5546,65.2032,76.7111
2014-02-04,66.7077,77.8687,79.1328,107.3348,18.3482,91.0148,145.0244,32.3487,64.4202,74.9548
2014-02-05,67.2059,77.6091,79.2013,106.772,18.5611,90.7609,144.974,32.2334,64.7521,74.9298
2014-02-06,67.5976,79.4353,78.7389,107.8889,18.7143,89.6881,146.1483,31.7634,65.0585,74.5635
2014-02-07,68.5433,80.6497,80.3401,111.7148,19.1486,91.1212,147.3121,32.0826,65.4414,75.2761
2014-02-10,69.7712,81.8919,81.2305,111.8379,19.3018,91.76,149.488,32.4196,65.7903,75.9299
2014-02-11,70.6906,82.1144,80.9137,114.4764,19.4381,91.4652,149.3953,32.6324,66.4031,75.0414
2014-02-12,70.6853,82.5223,81.3076,113.3266,19.3359,93.0129,151.5543,32.965,67.0924,76.1479
2014-02-13,71.8077,82.411,82.3436,114.5383,19.4551,92.5585,152.0097,33.2266,65.9435,76.3491
2014-02-14,71.7497,82.5037,82.2923,115.12200000000001,18.9613,92.9551,153.3591,33.3507,66.2073,76.6425
2014-02-18,72.0135,82.5223,82.669,115.5377,19.2082,93.7565,154.9194,33.3596,67.5689,78.889
2014-02-19,70.8765,82.3554,82.6776,113.5565,19.0805,93.1203,154.4977,33.431,66.352,78.8555
2014-02-20,70.0561,82.51299999999999,82.3779,114.5913,18.9698,93.8556,154.2953,33.5114,66.4967,78.7549
2014-02-21,69.278,82.272,82.9858,113.4592,18.9868,94.6818,155.4001,33.7259,66.3095,79.9452
2014-02-24,69.5813,83.3566,83.4824,114.6179,18.8421,93.0955,154.1603,33.9313,66.352,79.6602
2014-02-25,68.8572,83.3473,83.3283,112.1325,18.8335,94.31,154.717,33.6723,66.2584,80.8422
2014-02-26,68.236,83.1804,82.5491,111.9822,18.5951,94.9875,154.5314,33.5382,66.4797,80.7332
2014-02-27,69.5971,83.6996,83.2256,113.7069,18.6718,95.4336,155.2314,33.4757,66.2584,80.2973
